1. Labor rights and health,2. Inclusion and gender equity,3. Social Responsibility,4. Supply chain resilience,5. Social sustainability2Ord,RES_CS_1,RES_CS_2,RES_CS_3,RES_CS_4,RES_CS_5,RES_CS_6,TIEMPO_PANDEMIA
0.985,0.391,-0.339,-0.364,0.421,4,6,5,5,4,5,IN_Covid19_(2021)
0.856,1.16,0.152,0.928,0.828,7,7,7,7,5,6,IN_Covid19_(2021)
0.273,1.042,1.042,0.414,0.855,5,5,6,6,6,7,IN_Covid19_(2021)
1.014,1.062,0.363,0.809,0.925,5,5,7,7,7,7,IN_Covid19_(2021)
0.01,-1.21,-1.411,-0.399,-0.932,5,5,5,5,6,3,IN_Covid19_(2021)
0.746,1.062,-0.19,0.661,0.632,5,7,7,5,6,7,IN_Covid19_(2021)
-0.413,-0.043,-0.527,-0.028,-0.357,7,4,4,5,7,5,IN_Covid19_(2021)
0.367,-0.711,0.412,-0.371,0.013,5,5,5,5,4,5,IN_Covid19_(2021)
0.417,-0.585,-1.776,-2.315,-0.657,2,3,3,3,2,1,IN_Covid19_(2021)
1.18,1.312,1.674,1.304,1.527,7,7,7,7,7,7,IN_Covid19_(2021)
0.986,0.272,0.727,0.922,0.736,6,6,7,7,7,6,IN_Covid19_(2021)
1.18,1.312,1.351,1.304,1.418,7,7,7,7,7,7,IN_Covid19_(2021)
0.269,0.549,0.896,0.119,0.617,6,5,6,4,6,6,IN_Covid19_(2021)
1.18,1.187,1.512,0.151,1.425,5,6,6,6,5,5,IN_Covid19_(2021)
-0.23,-0.475,-1.354,-0.659,-0.728,6,3,5,4,5,4,IN_Covid19_(2021)
0.362,-0.087,-0.15,-1.27,0.059,3,4,5,4,3,3,IN_Covid19_(2021)
-0.916,-1.289,-1.201,-0.491,-1.255,3,5,5,5,5,5,IN_Covid19_(2021)
-0.144,-0.472,-1.354,-0.25,-0.693,5,5,5,5,5,5,IN_Covid19_(2021)
0.418,-0.074,1.065,1.304,0.496,7,7,7,7,7,7,IN_Covid19_(2021)
-0.147,-1.12,-0.584,-0.531,-0.68,4,4,4,4,7,5,IN_Covid19_(2021)
0.707,1.113,-0.941,0.802,0.383,6,6,6,7,6,7,IN_Covid19_(2021)
1.18,1.312,1.674,1.184,1.527,6,7,7,7,7,7,IN_Covid19_(2021)
1.068,1.009,0.446,0.775,0.954,6,7,6,6,7,6,IN_Covid19_(2021)
0.513,1.062,1.05,0.653,0.959,5,7,7,6,7,5,IN_Covid19_(2021)
1.18,0.562,0.503,1.304,0.847,7,7,7,7,7,7,IN_Covid19_(2021)
0.903,0.837,0.581,-0.511,0.869,4,5,5,4,5,5,IN_Covid19_(2021)
1.18,1.187,1.512,1.304,1.425,7,7,7,7,7,7,IN_Covid19_(2021)
1.18,1.187,0.249,-2.978,0.999,2,2,2,1,1,1,IN_Covid19_(2021)
0.957,1.035,-0.78,0.895,0.506,7,7,6,6,7,6,IN_Covid19_(2021)
-1.141,-2.005,-1.776,-1.718,-1.809,3,3,3,2,6,2,IN_Covid19_(2021)
0.931,0.937,0.769,1.304,0.981,7,7,7,7,7,7,IN_Covid19_(2021)
0.338,-0.92,-0.576,-0.137,-0.411,6,6,5,5,5,4,IN_Covid19_(2021)
1.014,0.568,0.321,-0.25,0.723,5,5,5,5,5,5,IN_Covid19_(2021)
0.559,0.785,-0.499,1.17,0.349,7,7,7,7,7,6,IN_Covid19_(2021)
0.058,-0.194,-0.948,-0.472,-0.371,2,3,6,6,6,5,IN_Covid19_(2021)
-1.45,-2.005,-1.776,0.795,-1.931,7,5,7,7,6,6,IN_Covid19_(2021)
-0.367,0.291,-0.058,0.286,-0.054,5,6,6,6,5,6,IN_Covid19_(2021)
0.67,0.108,-0.332,0.532,0.192,7,7,7,6,4,5,IN_Covid19_(2021)
-0.233,-1.428,-1.369,-0.931,-1.096,7,7,7,2,1,1,IN_Covid19_(2021)
1.18,1.062,1.471,1.184,1.364,7,7,7,7,6,7,IN_Covid19_(2021)
0.681,1.312,1.351,1.184,1.222,6,7,7,7,7,7,IN_Covid19_(2021)
-0.743,-0.357,-0.983,-1.028,-0.76,4,3,4,5,5,3,IN_Covid19_(2021)
0.234,-0.195,0.355,0.527,0.138,6,6,6,6,6,6,IN_Covid19_(2021)
0.147,1.009,0.09,-1.395,0.471,2,4,2,5,4,4,IN_Covid19_(2021)
0.818,0.608,0.608,1.304,0.758,7,7,7,7,7,7,IN_Covid19_(2021)
-0.005,-0.022,-1.776,-0.25,-0.61,5,5,5,5,5,5,IN_Covid19_(2021)
0.902,0.641,0.363,-0.13,0.721,5,5,5,5,6,5,IN_Covid19_(2021)
1.18,1.062,-1.776,1.304,0.268,7,7,7,7,7,7,IN_Covid19_(2021)
-0.233,-0.077,-1.776,0.131,-0.72,6,6,6,5,5,5,IN_Covid19_(2021)
0.251,0.291,-1.776,-0.893,-0.39,4,4,4,4,4,5,IN_Covid19_(2021)
0.511,0.858,-0.366,0.661,0.403,6,6,7,6,6,6,IN_Covid19_(2021)
